store_id,product_id,current_stock,lead_time_days
STORE_001,PROD_005,150000,3
STORE_001,PROD_006,200,2
STORE_001,PROD_010,100,4
STORE_001,PROD_031,50,3
STORE_001,PROD_034,75,2
STORE_001,PROD_037,120,3
STORE_001,PROD_040,90,2
STORE_001,PROD_043,180,4
STORE_001,PROD_044,140,3
STORE_001,PROD_050,60,2
STORE_002,PROD_002,110,3
STORE_002,PROD_006,95,2
STORE_002,PROD_007,130,3
STORE_002,PROD_008,70,4
STORE_002,PROD_027,160,2
STORE_002,PROD_036,85,3
STORE_002,PROD_044,120,2
STORE_002,PROD_045,95,4
STORE_003,PROD_002,140,3
STORE_003,PROD_013,105,2
STORE_003,PROD_019,80,3
STORE_003,PROD_024,125,4
STORE_003,PROD_032,90,2
STORE_003,PROD_038,170,3
STORE_003,PROD_050,110,2
STORE_004,PROD_001,150,3
STORE_004,PROD_006,200,2
STORE_004,PROD_008,100,4
STORE_004,PROD_009,180,3
STORE_004,PROD_017,9500,2
STORE_004,PROD_020,130,3
STORE_004,PROD_021,75,4
STORE_004,PROD_026,140,2
STORE_004,PROD_027,120,3
STORE_004,PROD_028,85,2
STORE_004,PROD_032,160,4
STORE_004,PROD_035,110,3
STORE_004,PROD_036,90,2
STORE_004,PROD_042,175,3
STORE_004,PROD_045,125,4
STORE_005,PROD_001,105,3
STORE_005,PROD_003,145,2
STORE_005,PROD_013,115,3
STORE_005,PROD_017,8000,4
STORE_005,PROD_018,135,2
STORE_005,PROD_022,95,3
STORE_005,PROD_023,170,4
STORE_005,PROD_027,120,2
STORE_005,PROD_030,100,3
STORE_005,PROD_031,155,2
STORE_005,PROD_039,90,4
STORE_005,PROD_040,130,3
STORE_005,PROD_046,110,2
STORE_005,PROD_048,85,3
